
Gurobi 9.5.1 (win64) logging started Tue Sep 19 00:56:07 2023

Set parameter LogFile to value "consol_sol_wt_1_time_36000_ver1.0.txt"
Set parameter TimeLimit to value 36000
Gurobi Optimizer version 9.5.1 build v9.5.1rc2 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 199781 rows, 74550 columns and 1039284 nonzeros
Model fingerprint: 0x6b59279d
Variable types: 0 continuous, 74550 integer (74550 binary)
Coefficient statistics:
  Matrix range     [1e+00, 5e+01]
  Objective range  [1e+00, 3e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 8e+00]
Found heuristic solution: objective -0.0000000
Presolve removed 120020 rows and 5580 columns (presolve time = 5s) ...
Presolve removed 124820 rows and 6220 columns (presolve time = 10s) ...
Presolve removed 124780 rows and 6180 columns
Presolve time: 10.14s
Presolved: 75001 rows, 68370 columns, 897913 nonzeros
Variable types: 0 continuous, 68370 integer (68330 binary)

Deterministic concurrent LP optimizer: primal and dual simplex
Showing first log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
  152469    4.6326305e+02   0.000000e+00   1.494319e+05    421s
  153129    4.6341170e+02   0.000000e+00   5.467021e+04    425s
  154012    4.6371701e+02   0.000000e+00   3.829642e+05    431s
  154826    4.6395061e+02   0.000000e+00   5.346265e+04    436s
  155724    4.6415110e+02   0.000000e+00   2.319146e+04    441s
  156416    4.6430626e+02   0.000000e+00   3.322932e+05    445s
  157288    4.6472383e+02   0.000000e+00   1.276189e+06    451s
  158164    4.6488296e+02   0.000000e+00   3.158069e+04    456s
  158982    4.6506478e+02   0.000000e+00   1.333284e+06    461s
  159633    4.6515934e+02   0.000000e+00   1.821881e+05    465s
  160528    4.6528798e+02   0.000000e+00   3.215264e+05    471s
  161156    4.6540450e+02   0.000000e+00   2.517742e+05    475s
  161998    4.6554057e+02   0.000000e+00   5.421284e+05    480s
  162857    4.6567151e+02   0.000000e+00   1.925523e+05    486s
  163677    4.6577025e+02   0.000000e+00   1.272089e+05    491s
  164324    4.6586807e+02   0.000000e+00   1.594371e+05    495s
  165141    4.6596831e+02   0.000000e+00   3.849641e+04    501s
  165823    4.6617038e+02   0.000000e+00   1.174855e+04    506s
  166430    4.6631175e+02   0.000000e+00   2.641321e+05    510s
  167216    4.6645229e+02   0.000000e+00   2.979636e+05    516s
  168075    4.6655656e+02   0.000000e+00   1.077487e+06    521s
  168700    4.6663248e+02   0.000000e+00   3.769188e+04    525s
  169544    4.6676067e+02   0.000000e+00   2.057141e+05    531s
  170218    4.6683472e+02   0.000000e+00   5.769686e+04    536s
  171104    4.6700625e+02   0.000000e+00   1.216394e+04    541s
  171777    4.6714140e+02   0.000000e+00   5.291238e+04    545s
  172695    4.6738762e+02   0.000000e+00   1.618089e+04    551s
  173338    4.6750302e+02   0.000000e+00   2.264041e+06    555s
  174137    4.6771398e+02   0.000000e+00   2.156088e+05    561s
  175000    4.6784234e+02   0.000000e+00   6.004376e+04    566s
  175688    4.6796302e+02   0.000000e+00   6.158349e+05    570s
  176587    4.6810363e+02   0.000000e+00   3.526347e+05    576s
  177448    4.6828832e+02   0.000000e+00   2.041214e+05    581s
  178267    4.6842646e+02   0.000000e+00   6.059728e+05    586s
  178926    4.6852119e+02   0.000000e+00   4.609320e+03    590s
  179805    4.6861715e+02   0.000000e+00   1.962835e+05    596s
  180508    4.6876879e+02   0.000000e+00   2.154446e+04    600s
  181364    4.6891897e+02   0.000000e+00   5.073339e+03    605s
  182193    4.6903318e+02   0.000000e+00   1.825637e+04    611s
  183101    4.6914811e+02   0.000000e+00   4.439730e+05    616s
  183779    4.6924545e+02   0.000000e+00   6.370482e+04    621s
  184781    4.6936526e+02   0.000000e+00   8.982751e+04    626s
  185518    4.6944017e+02   0.000000e+00   7.871095e+04    631s
  186282    4.6954949e+02   0.000000e+00   2.025684e+04    636s
  187219    4.6966404e+02   0.000000e+00   1.667478e+05    642s
  187891    4.6973835e+02   0.000000e+00   6.500145e+04    646s
  188646    4.6986125e+02   0.000000e+00   1.246434e+05    650s
  189596    4.6995825e+02   0.000000e+00   2.989280e+03    656s
  190287    4.7001015e+02   0.000000e+00   2.812343e+04    660s
  191159    4.7008467e+02   0.000000e+00   2.316868e+03    665s
  191885    4.7014601e+02   0.000000e+00   3.249010e+03    670s
  192810    4.7024874e+02   0.000000e+00   1.074543e+06    676s
  193529    4.7035194e+02   0.000000e+00   3.164727e+04    680s
  194479    4.7044432e+02   0.000000e+00   1.218946e+05    686s
  195358    4.7052381e+02   0.000000e+00   3.531836e+04    691s
  196048    4.7059068e+02   0.000000e+00   4.542819e+03    696s
  196782    4.7064093e+02   0.000000e+00   2.976472e+05    701s
  197468    4.7067817e+02   0.000000e+00   1.826872e+04    705s
  198404    4.7071919e+02   0.000000e+00   2.981193e+03    711s
  199096    4.7075712e+02   0.000000e+00   1.938009e+04    716s
  199841    4.7082233e+02   0.000000e+00   9.301021e+04    720s
  200862    4.7094812e+02   0.000000e+00   9.008868e+04    726s
  201609    4.7105680e+02   0.000000e+00   1.026487e+04    731s
  202357    4.7109978e+02   0.000000e+00   3.169148e+05    736s
  203042    4.7115822e+02   0.000000e+00   1.013951e+04    740s
  204092    4.7121768e+02   0.000000e+00   9.294808e+03    747s
  204799    4.7124202e+02   0.000000e+00   3.469198e+03    751s
  205624    4.7128760e+02   0.000000e+00   2.137410e+04    756s
  206350    4.7132785e+02   0.000000e+00   1.381453e+04    761s
  207057    4.7136528e+02   0.000000e+00   9.444218e+03    765s
  207975    4.7140343e+02   0.000000e+00   6.526528e+03    771s
  208706    4.7143405e+02   0.000000e+00   1.252265e+04    776s
  209640    4.7146785e+02   0.000000e+00   4.012990e+03    781s
  210405    4.7151461e+02   0.000000e+00   9.981012e+02    786s
  211116    4.7156647e+02   0.000000e+00   4.240385e+04    791s
  211785    4.7159100e+02   0.000000e+00   2.170376e+04    795s
  212731    4.7163920e+02   0.000000e+00   8.311659e+04    801s
  213506    4.7167720e+02   0.000000e+00   3.563429e+04    806s
  214213    4.7171268e+02   0.000000e+00   4.522200e+04    810s
  215164    4.7176633e+02   0.000000e+00   1.335554e+03    816s
  215908    4.7180327e+02   0.000000e+00   1.960568e+04    821s
  216625    4.7185105e+02   0.000000e+00   2.139750e+04    825s
  217534    4.7189749e+02   0.000000e+00   3.055141e+04    831s
  218306    4.7193404e+02   0.000000e+00   5.609925e+03    836s
  219047    4.7197079e+02   0.000000e+00   2.742192e+04    841s
  219753    4.7199499e+02   0.000000e+00   1.147748e+04    846s
  220505    4.7203462e+02   0.000000e+00   2.402753e+03    850s
  221624    4.7208128e+02   0.000000e+00   1.806858e+03    856s
  222689    4.7213263e+02   0.000000e+00   2.428152e+04    861s
  223673    4.7217205e+02   0.000000e+00   4.593270e+03    866s
  224663    4.7220637e+02   0.000000e+00   3.903433e+04    871s
Concurrent spin time: 17.28s

Solved with dual simplex

Root relaxation: objective 4.711153e+02, 225742 iterations, 860.45 seconds (610.08 work units)
Total elapsed time = 963.30s
Total elapsed time = 999.13s
Total elapsed time = 1018.02s
Total elapsed time = 1037.17s

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  471.11529    0 22883   -0.00000  471.11529      -     - 1056s
H    0     0                      85.5000000  471.11529   451%     - 1108s
     0     0  464.25847    0 27405   85.50000  464.25847   443%     - 1190s
H    0     0                     133.0000000  464.25847   249%     - 1206s
     0     0  464.25509    0 26791  133.00000  464.25509   249%     - 1219s
     0     0  464.25353    0 26227  133.00000  464.25353   249%     - 1223s
     0     0  464.25353    0 26151  133.00000  464.25353   249%     - 1225s
     0     0  458.83894    0 25254  133.00000  458.83894   245%     - 1407s
     0     0  458.56408    0 24950  133.00000  458.56408   245%     - 1426s
